_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q1,Q20,Q21,Q22,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Correct Answer,,,
819386857,11/2/2015 16:33:03,1788512516,11/2/2015 16:27:18,false,elite,0.6591,30247532,USA,VA,Chester,68.57.118.32,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,True,True,False C,True,0.789,,,
819386857,11/2/2015 16:43:15,1788518120,11/2/2015 16:36:19,false,bitcoinget,0.6477,30546513,GBR,G6,Hull,194.42.67.50,True,False A,True,False B,True,True,True,True,True,True,True,False B,True,True,False C,True,True,True,True,True,True,False B,0.737,,,
819386857,11/2/2015 16:55:04,1788524305,11/2/2015 16:51:30,false,instagc,0.608,16718271,USA,WA,Bellevue,67.160.99.79,False A,True,True,True,True,True,True,False A,True,True,True,False C,False A,False B,True,True,True,True,True,True,True,True,0.737,,,
819386857,11/2/2015 16:56:56,1788525273,11/2/2015 16:52:02,false,elite,0.6091,30064988,GBR,H3,Leeds,92.22.133.7,True,False A,True,True,True,True,True,True,True,True,True,False B,False A,True,True,True,True,True,False C,False C,True,True,0.737,,,
819386857,11/2/2015 17:00:41,1788527057,11/2/2015 16:56:35,false,instagc,0.6182,18985376,GBR,D2,Derby,86.27.159.112,True,True,True,False B,True,True,True,True,True,True,True,False C,False C,True,False A,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 17:14:51,1788534397,11/2/2015 17:09:08,false,prodege,0.6364,6579519,USA,OH,Eaton,71.55.59.242,True,True,True,True,True,True,True,True,True,True,True,False B,False A,False B,False C,True,True,True,True,True,True,True,0.789,,,
819386857,11/2/2015 17:30:32,1788541486,11/2/2015 17:15:43,false,elite,0.5844,30513549,USA,GA,Warner Robins,107.181.69.215,False B,False A,True,False B,True,True,True,True,True,True,False C,True,False A,False B,False A,True,True,True,True,True,True,True,0.632,,,
819386857,11/2/2015 17:42:56,1788548715,11/2/2015 17:34:50,false,prodege,0.6364,11521789,USA,CA,San Diego,108.178.173.218,True,False A,True,False A,True,True,True,False B,False A,True,True,False B,False A,True,True,True,True,True,True,True,True,False C,0.632,,,
819386857,11/2/2015 17:48:07,1788551630,11/2/2015 17:43:31,false,elite,0.6313,31956791,USA,PA,Slippery Rock,72.23.5.90,True,False A,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,False C,True,False C,False C,0.632,,,
819386857,11/2/2015 17:52:01,1788553451,11/2/2015 17:46:01,false,fusioncash,0.6313,7461070,USA,FL,Orlando,107.199.12.87,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False B,False C,True,True,True,True,False C,False C,True,0.684,,,
